region_name,year,av_sec1_all,percentage_population,language,distance,av_gdp,av_rai,democracy,diff_unemployment,shdi_score,av_selfrule,av_sharedrule,avg_policy_minorityrights,percentage_speaker
Flemish Region,2007,33.31196959309896,57.22999954223633,95,0.5,1.0,25.0,0.8199999928474426,-4.5,0.9100000262260437,14.0,11.0,2.1700000762939453,33.7599983215332
Flemish Region,2008,36.38999938964844,57.22999954223633,95,0.5,1.0019999980926513,25.0,0.8199999928474426,-4.300000190734863,0.9100000262260437,14.0,11.0,2.1700000762939453,33.7599983215332
Flemish Region,2009,36.38999938964844,57.22999954223633,95,0.5,1.0039999961853028,25.0,0.8199999928474426,-3.5999999046325684,0.9100000262260437,14.0,11.0,2.1700000762939453,33.7599983215332
Flemish Region,2010,41.219999122619626,57.22999954223633,95,0.5,1.005999994277954,25.1,0.8299999833106995,-4.5,0.9100000262260437,14.0,11.1,2.180000066757202,33.7599983215332
Flemish Region,2011,37.999999618530275,57.22999954223633,95,0.5,1.0079999923706056,25.2,0.8299999833106995,-4.0,0.9200000166893005,14.0,11.2,2.180000066757202,33.7599983215332
Flemish Region,2012,37.999999618530275,57.22999954223633,95,0.5,1.0119999885559081,25.3,0.8299999833106995,-3.700000047683716,0.9200000166893005,14.0,11.3,2.180000066757202,33.7599983215332
Flemish Region,2013,37.999999618530275,57.22999954223633,95,0.5,1.0139999866485596,25.4,0.8299999833106995,-4.5,0.9200000166893005,14.0,11.4,2.180000066757202,33.7599983215332
Flemish Region,2014,37.999999618530275,57.22999954223633,95,0.5,1.015999984741211,25.5,0.8299999833106995,-4.300000190734863,0.9200000166893005,14.0,11.5,1.8899999856948853,33.7599983215332
Flemish Region,2015,43.72000091552734,57.22999954223633,95,0.5,1.015999984741211,25.5,0.8299999833106995,-4.300000190734863,0.9200000166893005,14.0,11.5,1.8899999856948853,33.7599983215332
Flemish Region,2016,43.72000091552734,57.22999954223633,95,0.5,1.0179999828338624,25.5,0.8299999833106995,-4.099999904632568,0.9300000071525574,14.0,11.5,1.8899999856948853,33.7599983215332
Flemish Region,2017,43.72000091552734,57.22999954223633,95,0.5,1.0179999828338624,25.5,0.8199999928474426,-3.9000000953674316,0.9300000071525574,14.0,11.5,1.8899999856948853,33.7599983215332
Flemish Region,2018,43.72000091552734,57.22999954223633,95,0.5,1.0174999833106995,25.5,0.8199999928474426,-3.4000000953674316,0.9300000071525574,14.0,11.5,1.8899999856948853,33.7599983215332
