unit,time,pair,cov,treat
United Kingdom,2011Q1,SI:SD,0.8026921495255894,0
United Kingdom,2011Q1,SI:SE,0.014914803300401746,0
United Kingdom,2011Q1,SI:SG,1.13140243338425,0
United Kingdom,2011Q1,SI:SH,0.25833255189631127,0
United Kingdom,2011Q1,SI:SI,0.3142126418754443,0
United Kingdom,2011Q1,SJ:SC,1.594919481416843,0
United Kingdom,2011Q1,SJ:SD,3.386674530206691,0
United Kingdom,2011Q1,SJ:SE,0.06292771704615134,0
United Kingdom,2011Q1,SJ:SG,4.773550864825245,0
United Kingdom,2011Q1,SJ:SH,1.0899424821179775,0
United Kingdom,2011Q1,SJ:SI,1.3257086816377286,0
United Kingdom,2011Q1,SJ:SJ,5.593357091171172,0
United Kingdom,2011Q1,SK:SC,0.14787255580186187,0
United Kingdom,2011Q1,SK:SD,0.3139946713835686,0
United Kingdom,2011Q1,SK:SE,0.005834327349318262,0
United Kingdom,2011Q1,SK:SG,0.44257855951752045,0
United Kingdom,2011Q1,SK:SH,0.10105374119866739,0
United Kingdom,2011Q1,SK:SI,0.12291274467870923,0
United Kingdom,2011Q1,SK:SJ,0.5185866861750243,0
United Kingdom,2011Q1,SK:SK,0.04808063327522729,0
United Kingdom,2011Q1,SL:SC,0.1283564929534289,0
United Kingdom,2011Q1,SL:SD,0.2725539881711559,0
United Kingdom,2011Q1,SL:SE,0.005064319022822611,0
United Kingdom,2011Q1,SL:SG,0.38416751132757565,0
United Kingdom,2011Q1,SL:SH,0.08771677577186411,0
United Kingdom,2011Q1,SL:SI,0.10669085119066227,0
United Kingdom,2011Q1,SL:SJ,0.45014416616263325,0
United Kingdom,2011Q1,SL:SK,0.04173500236553297,0
United Kingdom,2011Q1,SL:SL,0.03622686108313969,0
United Kingdom,2011Q2,SC:SC,0.7044120173273852,0
United Kingdom,2011Q2,SD:SC,1.6766273031079195,0
United Kingdom,2011Q2,SD:SD,3.9906745546341913,0
United Kingdom,2011Q2,SE:SC,0.034208072654343676,0
United Kingdom,2011Q2,SE:SD,0.08142136588836169,0
United Kingdom,2011Q2,SE:SE,0.0016612326393361237,0
United Kingdom,2011Q2,SG:SC,1.9697218138523462,0
United Kingdom,2011Q2,SG:SD,4.688292208815655,0
United Kingdom,2011Q2,SG:SE,0.09565479472192295,0
United Kingdom,2011Q2,SG:SG,5.507861774826287,0
United Kingdom,2011Q2,SH:SC,0.2872154378022347,0
