country,year,gdp,Handover
Netherlands,1969,20510.8205773463,0
Netherlands,1970,21502.1677711919,0
Netherlands,1971,22165.264188457,0
Netherlands,1972,22717.6765287558,0
Netherlands,1973,23757.1122032462,0
Netherlands,1974,24382.2248610111,0
Netherlands,1975,24166.3402437694,0
Netherlands,1976,25045.8849216797,0
Netherlands,1977,25524.9215447392,0
Netherlands,1978,26052.3514822543,0
Netherlands,1979,26394.2638789431,0
Netherlands,1980,26537.6185481521,0
Netherlands,1981,26149.651070451,0
Netherlands,1982,25707.04458208,0
Netherlands,1983,26139.8532418517,0
Netherlands,1984,26833.449107754,0
Netherlands,1985,27397.7390478033,0
Netherlands,1986,28005.4569170371,0
Netherlands,1987,28365.7513364876,0
Netherlands,1988,29152.9132810316,0
Netherlands,1989,30259.4323164402,0
Netherlands,1990,31308.9134353062,0
Netherlands,1991,31820.8312757536,0
Netherlands,1992,32119.9518915891,0
Netherlands,1993,32297.9765926087,0
Netherlands,1994,33054.4495250043,0
Netherlands,1995,33916.5007890845,0
Netherlands,1996,34915.1715994696,0
Netherlands,1997,36211.649328204,0
Netherlands,1998,37661.7336703917,0
Netherlands,1999,39298.7334163813,0
Netherlands,2000,40665.3381347954,0
Netherlands,2001,41297.3198197765,0
Netherlands,2002,41135.4190926401,0
Netherlands,2003,40981.8476753112,0
Netherlands,2004,41663.1477702602,0
Netherlands,2005,42411.3453295771,0
Netherlands,2006,43841.1223358567,0
Netherlands,2007,45445.5228940384,0
Netherlands,2008,46227.2111445548,0
Netherlands,2009,44304.4119418886,0
Netherlands,2010,44659.2728095964,0
New Zealand,1961,18002.3895872158,0
New Zealand,1962,18091.225758171,0
New Zealand,1963,18817.6083574369,0
New Zealand,1964,19552.1673180578,0
New Zealand,1965,20407.72501827,0
New Zealand,1966,21298.0001599488,0
New Zealand,1967,19960.9945854049,0
New Zealand,1968,19777.0036019688,0
New Zealand,1969,21599.0711721513,0
New Zealand,1970,21010.0255056525,0
New Zealand,1971,21482.054113016,0
New Zealand,1972,22185.9273716135,0
New Zealand,1973,23452.9091323081,0
New Zealand,1974,24345.5402366519,0
New Zealand,1975,23463.0260570469,0
New Zealand,1976,23472.3510899214,0
New Zealand,1977,22478.3020515778,0
New Zealand,1978,22542.680184814,0
New Zealand,1979,23127.1302499646,0
New Zealand,1980,23394.7746124536,0
New Zealand,1981,24389.8628515244,0
New Zealand,1982,24373.2473415141,0
New Zealand,1983,24883.5925300997,0
New Zealand,1984,25851.7262418214,0
New Zealand,1985,26107.4893135443,0
New Zealand,1986,26820.4266706591,0
New Zealand,1987,26848.632106229,0
New Zealand,1988,26680.1098949334,0
New Zealand,1989,26595.1943236879,0
New Zealand,1990,26391.1425882701,0
New Zealand,1991,24868.7385228741,0
New Zealand,1992,24880.2037081612,0
New Zealand,1993,26170.4401014812,0
New Zealand,1994,27146.8256678231,0
New Zealand,1995,28015.5864425497,0
New Zealand,1996,28571.4075096158,0
New Zealand,1997,28785.1958436523,0
New Zealand,1998,28776.0222188928,0
New Zealand,1999,30164.0852034973,0
New Zealand,2000,30848.1860883256,0
New Zealand,2001,31713.1301772319,0
New Zealand,2002,32636.1375503767,0
New Zealand,2003,33511.5504913352,0
New Zealand,2004,34367.0062362204,0
New Zealand,2005,35120.7355126427,0
New Zealand,2006,35659.59616566,0
New Zealand,2007,36406.1408058787,0
New Zealand,2008,35651.0156373706,0
New Zealand,2009,35278.0407763656,0
New Zealand,2010,35392.017344657,0
US,1961,19108.9353645939,0
US,1962,19965.1435753955,0
US,1963,20545.7842453942,0
US,1964,21437.5840704395,0
US,1965,22526.2055148551,0
US,1966,23714.9390278431,0
US,1967,24044.565127902,0
US,1968,24948.3568987924,0
US,1969,25471.6161786519,0
US,1970,25231.1271579892,0
US,1971,25734.4828350051,0
US,1972,26798.5336071197,0
US,1973,28042.5519161527,0
US,1974,27637.2997746126,0
