unit,week,sales,showroom
Control7,109,2260.0,0
Control7,110,1163.75,0
Control8,1,95.0,0
Control8,2,118.75,0
Control8,3,47.5,0
Control8,4,209.0,0
Control8,5,47.5,0
Control8,6,71.25,0
Control8,7,71.25,0
Control8,8,118.75,0
Control8,9,23.75,0
Control8,10,23.75,0
Control8,11,23.75,0
Control8,12,308.75,0
Control8,13,142.5,0
Control8,14,47.5,0
Control8,15,95.0,0
Control8,16,190.0,0
Control8,17,71.25,0
Control8,18,71.25,0
Control8,19,118.75,0
Control8,20,142.5,0
Control8,21,95.0,0
Control8,22,47.5,0
Control8,23,118.75,0
Control8,24,190.0,0
Control8,25,47.5,0
Control8,26,166.25,0
Control8,27,95.0,0
Control8,28,237.5,0
Control8,29,166.25,0
Control8,30,47.5,0
Control8,31,23.75,0
Control8,32,156.25,0
Control8,33,118.75,0
Control8,34,108.75,0
Control8,35,166.25,0
Control8,36,71.25,0
Control8,37,124.45,0
Control8,38,190.0,0
Control8,39,142.5,0
Control8,40,166.25,0
Control8,41,166.25,0
Control8,42,237.5,0
Control8,43,308.75,0
Control8,44,336.3,0
Control8,45,166.25,0
Control8,46,261.25,0
Control8,47,213.75,0
Control8,48,332.5,0
Control8,49,308.75,0
Control8,50,441.25,0
Control8,51,261.25,0
Control8,52,380.0,0
Control8,53,356.25,0
Control8,54,416.25,0
Control8,55,475.0,0
Control8,56,546.25,0
Control8,57,285.0,0
Control8,58,261.25,0
Control8,59,285.0,0
Control8,60,488.75,0
Control8,61,332.5,0
Control8,62,305.0,0
Control8,63,166.25,0
Control8,64,285.0,0
Control8,65,451.25,0
Control8,66,213.75,0
Control8,67,285.0,0
Control8,68,356.25,0
Control8,69,285.0,0
Control8,70,308.75,0
Control8,71,380.0,0
Control8,72,451.25,0
Control8,73,332.5,0
Control8,74,546.25,0
Control8,75,451.25,0
Control8,76,475.0,0
Control8,77,546.25,0
Control8,78,641.25,0
Control8,79,511.25,0
Control8,80,546.25,0
Control8,81,475.0,0
Control8,82,451.25,0
Control8,83,560.0,0
Control8,84,760.0,0
Control8,85,308.75,0
Control8,86,593.75,0
Control8,87,522.5,0
Control8,88,233.75,0
Control8,89,446.5,0
Control8,90,459.1725,0
Control8,91,593.75,0
Control8,92,475.0,0
Control8,93,726.25,0
Control8,94,617.5,0
Control8,95,766.25,0
Control8,96,285.0,0
Control8,97,645.0,0
Control8,98,902.5,0
Control8,99,950.0,0
Control8,100,807.5,0
Control8,101,702.5,0
Control8,102,831.25,0
Control8,103,950.0,0
Control8,104,797.5,0
Control8,105,831.25,0
Control8,106,1191.25,0
Control8,107,878.75,0
Control8,108,1031.25,0
Control8,109,736.25,0
Control8,110,617.5,0
Control9,1,190.0,0
Control9,2,190.0,0
Control9,3,213.75,0
Control9,4,118.75,0
Control9,5,95.0,0
Control9,6,118.75,0
Control9,7,142.5,0
Control9,8,47.5,0
Control9,9,237.5,0
Control9,10,118.75,0
Control9,11,23.75,0
Control9,12,47.5,0
Control9,13,95.0,0
Control9,14,95.0,0
Control9,15,95.0,0
Control9,16,142.5,0
Control9,17,0.0,0
Control9,18,47.5,0
Control9,19,23.75,0
Control9,20,166.25,0
Control9,21,47.5,0
Control9,22,71.25,0
Control9,23,71.25,0
Control9,24,95.0,0
Control9,25,118.75,0
Control9,26,261.25,0
Control9,27,142.5,0
Control9,28,118.75,0
Control9,29,0.0,0
Control9,30,213.75,0
Control9,31,47.5,0
Control9,32,142.5,0
Control9,33,190.0,0
Control9,34,107.5,0
Control9,35,190.0,0
Control9,36,261.25,0
Control9,37,71.25,0
Control9,38,95.0,0
Control9,39,190.0,0
Control9,40,47.5,0
Control9,41,166.25,0
Control9,42,250.0,0
Control9,43,237.5,0
Control9,44,237.5,0
Control9,45,190.0,0
Control9,46,95.0,0
Control9,47,308.75,0
Control9,48,403.75,0
Control9,49,570.0,0
Control9,50,451.25,0
Control9,51,475.0,0
Control9,52,261.25,0
Control9,53,570.0,0
Control9,54,582.5,0
Control9,55,327.75,0
Control9,56,403.75,0
Control9,57,570.0,0
Control9,58,427.5,0
Control9,59,546.25,0
Control9,60,570.0,0
Control9,61,332.5,0
Control9,62,356.25,0
Control9,63,308.75,0
Control9,64,440.0,0
Control9,65,403.75,0
Control9,66,190.0,0
Control9,67,451.25,0
Control9,68,403.75,0
Control9,69,475.0,0
Control9,70,617.5,0
Control9,71,570.0,0
Control9,72,570.0,0
Control9,73,451.25,0
Control9,74,451.25,0
Control9,75,665.0,0
Control9,76,617.5,0
Control9,77,570.0,0
Control9,78,522.5,0
Control9,79,475.0,0
Control9,80,403.75,0
Control9,81,1001.25,0
Control9,82,702.5,0
Control9,83,582.5,0
Control9,84,621.25,0
Control9,85,665.0,0
Control9,86,487.5,0
Control9,87,607.5,0
Control9,88,417.5,0
Control9,89,736.25,0
Control9,90,653.75,0
Control9,91,590.0,0
