country,year,gdp,Reunification
New Zealand,2001,17328.0,0
New Zealand,2002,17832.27,0
New Zealand,2003,18310.43,0
Norway,1960,6925.59,0
Norway,1961,7301.82,0
Norway,1962,7447.22,0
Norway,1963,7670.88,0
Norway,1964,7994.54,0
Norway,1965,8351.93,0
Norway,1966,8599.25,0
Norway,1967,9061.1,0
Norway,1968,9188.31,0
Norway,1969,9524.29,0
Norway,1970,9639.1,0
Norway,1971,10114.8,0
Norway,1972,10572.8,0
Norway,1973,10975.02,0
Norway,1974,11334.95,0
Norway,1975,11830.79,0
Norway,1976,12461.42,0
Norway,1977,12925.16,0
Norway,1978,13374.12,0
Norway,1979,13911.44,0
Norway,1980,14499.74,0
Norway,1981,14680.9,0
Norway,1982,14661.5,0
Norway,1983,15193.62,0
Norway,1984,16067.79,0
Norway,1985,16909.38,0
Norway,1986,17530.24,0
Norway,1987,17754.35,0
Norway,1988,17614.03,0
Norway,1989,17723.6,0
Norway,1990,18004.0,0
Norway,1991,18471.1,0
Norway,1992,19021.23,0
Norway,1993,19446.33,0
Norway,1994,20313.4,0
Norway,1995,21048.0,0
Norway,1996,21994.51,0
Norway,1997,23031.61,0
Norway,1998,23505.88,0
Norway,1999,23829.2,0
Norway,2000,24460.8,0
Norway,2001,24840.41,0
Norway,2002,25047.16,0
Norway,2003,25135.97,0
Portugal,1960,3036.03,0
Portugal,1961,3178.37,0
Portugal,1962,3364.24,0
Portugal,1963,3547.5,0
Portugal,1964,3769.28,0
Portugal,1965,4067.36,0
Portugal,1966,4265.27,0
Portugal,1967,4616.25,0
Portugal,1968,5047.51,0
Portugal,1969,5201.02,0
Portugal,1970,5725.55,0
Portugal,1971,6131.15,0
Portugal,1972,6632.83,0
Portugal,1973,7373.47,0
Portugal,1974,7354.44,0
Portugal,1975,6772.36,0
Portugal,1976,7036.67,0
Portugal,1977,7352.42,0
Portugal,1978,7478.34,0
Portugal,1979,7815.8,0
Portugal,1980,8086.57,0
Portugal,1981,8146.48,0
Portugal,1982,8269.73,0
Portugal,1983,8217.2,0
Portugal,1984,8031.77,0
Portugal,1985,8234.7,0
Portugal,1986,8567.9,0
Portugal,1987,9117.11,0
Portugal,1988,9810.09,0
Portugal,1989,10457.17,0
Portugal,1990,10894.0,0
Portugal,1991,11396.11,0
Portugal,1992,11529.23,0
Portugal,1993,11279.85,0
Portugal,1994,11358.07,0
Portugal,1995,11803.58,0
Portugal,1996,12171.36,0
Portugal,1997,12650.4,0
Portugal,1998,13191.79,0
Portugal,1999,13629.82,0
Portugal,2000,14050.85,0
Portugal,2001,14223.29,0
Portugal,2002,14254.66,0
Portugal,2003,14069.1,0
Spain,1960,4380.6,0
Spain,1961,4853.9,0
Spain,1962,5288.16,0
Spain,1963,5745.03,0
Spain,1964,5990.18,0
Spain,1965,6296.02,0
Spain,1966,6683.44,0
Spain,1967,6888.23,0
Spain,1968,7247.25,0
Spain,1969,7815.37,0
