"munid","year","coalXpost","psoe","pp","podem","cs","vox","others"
"0244013",2019,0,31.7577197149644,19.9762470308789,11.437054631829,21.7933491686461,12.3515439429929,2.68408551068883
"0244014",2008,0,48.0952380952381,33.6666666666667,4.04761904761905,0.428571428571429,0,13.7619047619048
"0244014",2011,0,36.7154811715481,42.5209205020921,12.7615062761506,2.8765690376569,0,5.12552301255229
"0244014",2015,0,27.7212614445575,29.6541200406918,18.0061037639878,11.3428280773143,0,13.2756866734486
"0244014",2016,0,28.4949116229245,33.5297268344938,24.1564006427424,10.8194965184788,0,2.99946438136047
"0244014",2019,0,34.8446255731024,22.4146714212939,16.8619460010189,14.7733061640346,7.28476821192053,3.82068262862965
"0244016",2008,0,39.8249452954048,46.6083150984683,0.87527352297593,0.218818380743982,0,12.472647702407
"0244016",2011,0,34.8284960422164,54.089709762533,4.48548812664908,4.48548812664908,0,2.1108179419525
"0244016",2015,0,31.6526610644258,37.5350140056022,9.52380952380952,15.1260504201681,0,6.16246498599439
"0244016",2016,0,29.1666666666667,44.4444444444444,8.88888888888889,15.5555555555556,0,1.94444444444444
"0244016",2019,0,34.1389728096677,24.1691842900302,4.83383685800604,25.9818731117825,10.5740181268882,0.302114803625386
"0244017",2008,0,53.4545454545455,36.3636363636364,0.363636363636364,0.727272727272727,0,9.09090909090909
"0244017",2011,0,36.6812227074236,50.6550218340611,8.29694323144105,2.18340611353712,0,2.18340611353712
"0244017",2015,0,28.6363636363636,37.7272727272727,10.4545454545455,17.2727272727273,0,5.90909090909091
"0244017",2016,0,27.8026905829596,39.9103139013453,13.4529147982063,15.695067264574,0,3.1390134529148
"0244017",2019,1,36.986301369863,20.5479452054795,9.58904109589041,25.5707762557078,7.30593607305936,0
"0244018",2008,0,0,100,0,0,0,0
"0244018",2011,0,4.34782608695652,95.6521739130435,0,0,0,0
"0244018",2015,0,5,95,0,0,0,0
"0244018",2016,0,5.26315789473684,94.7368421052632,0,0,0,0
"0244018",2019,0,12.5,87.5,0,0,0,0
"0244019",2008,0,17.5,52.5,0,0,0,30
"0244019",2011,0,27.027027027027,70.2702702702703,0,0,0,2.70270270270269
"0244019",2015,0,18.75,41.6666666666667,8.33333333333333,27.0833333333333,0,4.16666666666667
"0244019",2016,0,20.4081632653061,48.9795918367347,4.08163265306122,22.4489795918367,0,4.08163265306122
"0244019",2019,0,16.6666666666667,26.1904761904762,2.38095238095238,30.952380952381,21.4285714285714,2.38095238095238
"0244020",2008,0,15.7894736842105,63.1578947368421,0,0,0,21.0526315789474
"0244020",2011,0,0,80,0,20,0,0
"0244020",2015,0,15.7894736842105,57.8947368421053,0,10.5263157894737,0,15.7894736842105
"0244020",2016,0,15.7894736842105,63.1578947368421,5.26315789473684,10.5263157894737,0,5.26315789473685
"0244020",2019,0,5.55555555555556,55.5555555555556,0,27.7777777777778,5.55555555555556,5.55555555555556
"0244021",2008,0,47.6744186046512,36.046511627907,1.16279069767442,0,0,15.1162790697674
"0244021",2011,0,41.5584415584416,45.4545454545455,7.79220779220779,2.5974025974026,0,2.59740259740261
"0244021",2015,0,26.5060240963855,39.7590361445783,20.4819277108434,7.2289156626506,0,6.02409638554218
"0244021",2016,0,21.5909090909091,50,21.5909090909091,5.68181818181818,0,1.13636363636364
"0244021",2019,0,36.4705882352941,24.7058823529412,11.7647058823529,15.2941176470588,7.05882352941176,4.70588235294117
"0244022",2008,0,50.1138952164009,27.1070615034169,2.73348519362187,0,0,20.0455580865604
