unit,time,age,asfr,treat
East Germany,1963,19,0.14597,0
East Germany,1963,20,0.17339,0
East Germany,1963,21,0.18795,0
East Germany,1963,22,0.18927,0
East Germany,1963,23,0.18343,0
East Germany,1963,24,0.17543,0
East Germany,1963,25,0.16273,0
East Germany,1963,26,0.14876,0
East Germany,1963,27,0.13362,0
East Germany,1963,28,0.12032,0
East Germany,1963,29,0.10816,0
East Germany,1963,30,0.09592,0
East Germany,1963,31,0.08394,0
East Germany,1963,32,0.07335,0
East Germany,1963,33,0.06304,0
East Germany,1963,34,0.05425,0
East Germany,1963,35,0.04758,0
East Germany,1963,36,0.03965,0
East Germany,1963,37,0.03299,0
East Germany,1963,38,0.02745,0
East Germany,1963,39,0.02185,0
East Germany,1963,40,0.01641,0
East Germany,1963,41,0.0117,0
East Germany,1963,42,0.0082,0
East Germany,1963,43,0.00563,0
East Germany,1963,44,0.00314,0
East Germany,1963,45,0.00107,0
East Germany,1963,46,0.00036,0
East Germany,1963,47,0.00018,0
East Germany,1963,48,9e-05,0
East Germany,1963,49,5e-05,0
East Germany,1963,50,3e-05,0
East Germany,1963,51,2e-05,0
East Germany,1963,52,1e-05,0
East Germany,1963,53,1e-05,0
East Germany,1963,54,0.0,0
East Germany,1963,55,0.0,0
East Germany,1964,12,0.0,0
East Germany,1964,13,0.0,0
East Germany,1964,14,9e-05,0
East Germany,1964,15,0.00273,0
East Germany,1964,16,0.01343,0
East Germany,1964,17,0.04445,0
East Germany,1964,18,0.10143,0
East Germany,1964,19,0.15689,0
East Germany,1964,20,0.18296,0
East Germany,1964,21,0.18684,0
East Germany,1964,22,0.18444,0
East Germany,1964,23,0.18048,0
East Germany,1964,24,0.17021,0
East Germany,1964,25,0.1591,0
East Germany,1964,26,0.14705,0
East Germany,1964,27,0.13298,0
East Germany,1964,28,0.11908,0
East Germany,1964,29,0.1069,0
East Germany,1964,30,0.0971,0
East Germany,1964,31,0.08567,0
East Germany,1964,32,0.07436,0
East Germany,1964,33,0.06422,0
East Germany,1964,34,0.05522,0
East Germany,1964,35,0.04713,0
East Germany,1964,36,0.04013,0
East Germany,1964,37,0.03335,0
East Germany,1964,38,0.0271,0
East Germany,1964,39,0.02146,0
East Germany,1964,40,0.01627,0
East Germany,1964,41,0.01184,0
East Germany,1964,42,0.00813,0
East Germany,1964,43,0.00525,0
East Germany,1964,44,0.0033,0
East Germany,1964,45,0.00147,0
East Germany,1964,46,0.00047,0
East Germany,1964,47,0.00022,0
East Germany,1964,48,0.00011,0
East Germany,1964,49,6e-05,0
East Germany,1964,50,3e-05,0
East Germany,1964,51,2e-05,0
East Germany,1964,52,1e-05,0
East Germany,1964,53,1e-05,0
East Germany,1964,54,0.0,0
East Germany,1964,55,0.0,0
East Germany,1965,12,0.0,0
East Germany,1965,13,0.0,0
East Germany,1965,14,0.0001,0
East Germany,1965,15,0.00286,0
East Germany,1965,16,0.01357,0
East Germany,1965,17,0.04795,0
East Germany,1965,18,0.1018,0
East Germany,1965,19,0.16184,0
East Germany,1965,20,0.18895,0
East Germany,1965,21,0.19296,0
East Germany,1965,22,0.18699,0
East Germany,1965,23,0.17792,0
East Germany,1965,24,0.17009,0
East Germany,1965,25,0.15932,0
East Germany,1965,26,0.14582,0
East Germany,1965,27,0.13185,0
East Germany,1965,28,0.11818,0
East Germany,1965,29,0.10485,0
East Germany,1965,30,0.09411,0
East Germany,1965,31,0.08452,0
East Germany,1965,32,0.07339,0
East Germany,1965,33,0.06371,0
East Germany,1965,34,0.05498,0
East Germany,1965,35,0.0463,0
East Germany,1965,36,0.03855,0
East Germany,1965,37,0.03234,0
East Germany,1965,38,0.02629,0
East Germany,1965,39,0.02109,0
East Germany,1965,40,0.01615,0
East Germany,1965,41,0.01125,0
East Germany,1965,42,0.00756,0
East Germany,1965,43,0.00463,0
East Germany,1965,44,0.00264,0
East Germany,1965,45,0.00127,0
East Germany,1965,46,0.0005,0
East Germany,1965,47,0.00024,0
East Germany,1965,48,0.00012,0
East Germany,1965,49,6e-05,0
East Germany,1965,50,3e-05,0
East Germany,1965,51,2e-05,0
East Germany,1965,52,1e-05,0
East Germany,1965,53,1e-05,0
East Germany,1965,54,0.0,0
East Germany,1965,55,0.0,0
East Germany,1966,12,0.0,0
East Germany,1966,13,0.0,0
East Germany,1966,14,8e-05,0
East Germany,1966,15,0.00236,0
East Germany,1966,16,0.01158,0
East Germany,1966,17,0.0433,0
East Germany,1966,18,0.10007,0
East Germany,1966,19,0.15809,0
East Germany,1966,20,0.18971,0
East Germany,1966,21,0.1929,0
East Germany,1966,22,0.18816,0
East Germany,1966,23,0.17937,0
East Germany,1966,24,0.16654,0
East Germany,1966,25,0.15548,0
East Germany,1966,26,0.1443,0
East Germany,1966,27,0.1299,0
East Germany,1966,28,0.11407,0
East Germany,1966,29,0.10171,0
East Germany,1966,30,0.09057,0
East Germany,1966,31,0.07944,0
East Germany,1966,32,0.07053,0
East Germany,1966,33,0.06169,0
East Germany,1966,34,0.05345,0
East Germany,1966,35,0.04509,0
East Germany,1966,36,0.03711,0
East Germany,1966,37,0.03038,0
East Germany,1966,38,0.02419,0
East Germany,1966,39,0.01866,0
East Germany,1966,40,0.01328,0
East Germany,1966,41,0.00867,0
