unit,time,y,treat
South Korea,2011-09,6.31947303,0
Spain,2011-09,6.87787098,0
Sweden,2011-09,0.0,0
Switzerland,2011-09,-1.90332993,0
Thailand,2011-09,5.55555556,0
Tunisia,2011-09,6.21915104,0
Ukraine,2011-09,21.3,0
United Kingdom,2011-09,8.39532412,0
United States,2011-09,4.50980392,0
China,2011-10,5.0038,0
Armenia,2011-10,1.96215759,0
Belgium,2011-10,7.57180157,0
Bosnia and Herzegovina,2011-10,2.2,0
Bulgaria,2011-10,7.60426834,0
Canada,2011-10,6.64335664,0
Chile,2011-10,-2.95976569,0
Colombia,2011-10,12.83760487,0
Croatia,2011-10,6.8,0
Cyprus,2011-10,5.73857598,0
Czech Republic,2011-10,5.50935551,0
Denmark,2011-10,7.64488286,0
Ecuador,2011-10,4.96577971,0
Egypt,2011-10,6.01092896,0
Estonia,2011-10,3.31269046,0
European Union,2011-10,5.29953917,0
Finland,2011-10,3.33660451,0
France,2011-10,4.40180587,0
Georgia,2011-10,9.0049,0
Germany,2011-10,4.90654206,0
Ghana,2011-10,16.41888428,0
Greece,2011-10,8.08474516,0
Hungary,2011-10,7.0,0
Iceland,2011-10,12.759846,0
India,2011-10,9.86703989,0
Ireland,2011-10,2.44399185,0
Israel,2011-10,7.91489362,0
Italy,2011-10,5.47945205,0
Japan,2011-10,1.23839009,0
Jordan,2011-10,19.1012441,0
Kazakhstan,2011-10,26.6,0
Kuwait,2011-10,0.87519063,0
Kyrgyzstan,2011-10,19.74199369,0
Latvia,2011-10,7.3,0
Lithuania,2011-10,14.3,0
Luxembourg,2011-10,6.8897831,0
Malaysia,2011-10,9.42460317,0
Malta,2011-10,-2.38379023,0
Mexico,2011-10,6.38994471,0
Moldova,2011-10,8.37776085,0
Mongolia,2011-10,16.7,0
Montenegro,2011-10,2.8,0
Morocco,2011-10,15.40114613,0
Netherlands,2011-10,9.15354331,0
North Macedonia,2011-10,10.23666901,0
Norway,2011-10,15.28189911,0
Pakistan,2011-10,15.40540541,0
Paraguay,2011-10,7.33999488,0
Philippines,2011-10,2.56835128,0
Poland,2011-10,8.5,0
Portugal,2011-10,4.44769733,0
Romania,2011-10,6.41620937,0
Serbia,2011-10,11.24611551,0
Singapore,2011-10,8.77588765,0
Slovakia,2011-10,3.95721925,0
Slovenia,2011-10,3.68450704,0
South Korea,2011-10,5.82444627,0
Spain,2011-10,6.64113024,0
Sweden,2011-10,0.21810251,0
Switzerland,2011-10,-1.78704915,0
Thailand,2011-10,4.23228346,0
Tunisia,2011-10,7.41106719,0
Ukraine,2011-10,16.3,0
United Kingdom,2011-10,7.59493671,0
United States,2011-10,3.70731707,0
China,2011-11,2.7179,0
Armenia,2011-11,8.0278073,0
Belgium,2011-11,7.02210663,0
Bosnia and Herzegovina,2011-11,2.2,0
Bulgaria,2011-11,7.07891044,0
Canada,2011-11,6.00461894,0
Chile,2011-11,-3.54841156,0
Colombia,2011-11,11.01999551,0
Croatia,2011-11,6.8,0
Cyprus,2011-11,7.08154506,0
Czech Republic,2011-11,5.48654244,0
Denmark,2011-11,6.84596577,0
Ecuador,2011-11,4.70499295,0
Egypt,2011-11,9.02004454,0
Estonia,2011-11,2.96651655,0
European Union,2011-11,5.16055046,0
Finland,2011-11,3.53634578,0
France,2011-11,4.15263749,0
Georgia,2011-11,9.8554,0
Germany,2011-11,4.66744457,0
Ghana,2011-11,17.92083314,0
Greece,2011-11,7.38551405,0
Hungary,2011-11,8.0,0
Iceland,2011-11,8.366824,0
India,2011-11,9.45757997,0
Ireland,2011-11,2.00803213,0
Israel,2011-11,7.6793249,0
Italy,2011-11,5.34698521,0
Japan,2011-11,1.23966942,0
Jordan,2011-11,14.41473988,0
Kazakhstan,2011-11,22.6,0
Kuwait,2011-11,0.77527633,0
Kyrgyzstan,2011-11,18.17666308,0
Latvia,2011-11,6.9,0
Lithuania,2011-11,12.4,0
