country,country_code,year,fdi,treated,log_gdp,log_gdp_percap,import_to_gdp,export_to_gdp,inflation_gdp_deflator,gross_capital_forma_gdp,unemployment,employment_15,log_population
Mexico,MEX,2004,3.06821035154364,0,27.614411290740357,9.155030998263559,26.9372640255577,25.1033560080055,49.8901472327311,22.0461782270566,3.937,57.136,18.459380292476798
Mexico,MEX,2005,2.74220134218643,0,27.63532356808697,9.161648158899604,27.0755708232772,25.4870738285114,52.8261737886289,21.5221459698375,3.558,58.089,18.473675409187372
Mexico,MEX,2006,2.16872807444112,0,27.68225499184414,9.194974196917807,27.927367918041,26.5547481705759,56.0523497579466,22.5641029454858,3.566,58.813,18.48728079492633
Mexico,MEX,2007,2.81394170239287,0,27.70282069982594,9.202377536707964,28.4774630665241,26.7810613279257,59.4871212490956,23.071914687527,3.628,58.819,18.50044316311798
Mexico,MEX,2008,2.56150056780836,0,27.71220980255707,9.199091282021636,29.3452206517371,27.0200612345202,63.2409856145566,24.1213158858044,3.874,58.395,18.513118520535432
Mexico,MEX,2009,2.08303784883143,0,27.647188492278985,9.121702534820496,28.0784724080616,26.5132697232887,66.5570155902349,23.2592508057594,5.356,57.401,18.525485957458486
Mexico,MEX,2010,2.76140572944553,0,27.695705615206712,9.156953868175671,30.2559244138859,29.0174601154993,69.467530188026,23.3314894102504,5.303,57.269,18.53875174703104
Mexico,MEX,2011,1.94422301342699,0,27.729566268272848,9.176538123587815,31.7194210489631,30.4429662274867,73.4060846718906,24.2517581318792,5.175,57.434,18.553028144685033
Mexico,MEX,2012,1.45258835704809,0,27.76448167650161,9.19748737719796,32.7184814985984,31.539450391413,76.7403468150886,24.3777390617044,4.892,58.252,18.56699429930365
Mexico,MEX,2013,3.83652684711182,0,27.772966593163762,9.192800685932216,31.9358741892317,30.755800584349,78.0479123747548,22.6807316074935,4.921,58.054,18.580165907231542
Mexico,MEX,2014,2.08414077076272,0,27.79769592218141,9.205115347794328,32.6354168351336,31.462992199988,81.4573331162764,22.2932759800089,4.819,57.587,18.592580574387082
Mexico,MEX,2015,2.9877280867532,0,27.824360476294576,9.220109813409945,36.2502019889402,34.1627726873238,84.0846815017105,23.7361297440288,4.311,58.006,18.604250662884628
Mexico,MEX,2016,3.4974221634297,0,27.841930153966786,9.226347148202949,38.8746261573743,36.8156772514808,89.1950018656993,24.3433923355958,3.853,58.163,18.61558300576383
Mexico,MEX,2017,2.78101459031836,0,27.860474426467263,9.234087213326337,39.438037420838,37.5140886198874,95.0529682857042,23.8923507095274,3.419,58.207,18.626387213140926
Mexico,MEX,2018,3.01338710818482,0,27.88000331133917,9.24409941175897,41.1687312149645,39.0439304419331,100.0,23.47749306333,3.275,58.506,18.635903899580203
