idunico,Year,policial,presence_strength,co_num,war
11018,2004,0,0,0,0
11018,2005,0,0,0,0
11018,2006,0,0,0,0
11018,2007,0,0,0,0
11018,2008,0,0,0,0
11018,2009,0,0,0,0
11018,2010,0,0,0,0
11018,2011,0,2,2,1
11018,2012,0,2,2,1
11018,2013,0,2,1,0
11018,2014,0,2,2,1
11018,2015,0,2,2,1
11018,2016,0,2,2,1
11018,2017,0,3,2,1
11018,2018,0,3,3,1
11018,2019,0,3,3,1
11018,2020,0,3,2,1
11018,2021,0,3,2,1
11008,2000,0,0,0,0
11008,2001,0,0,0,0
11008,2002,0,0,0,0
11008,2003,0,0,0,0
11008,2004,0,0,0,0
11008,2005,0,0,0,0
11008,2006,0,0,0,0
11008,2007,0,0,0,0
11008,2008,0,2,1,0
11008,2009,0,2,1,0
11008,2010,0,2,1,0
11008,2011,0,0,0,0
11008,2012,0,0,0,0
11008,2013,0,0,0,0
11008,2014,0,0,0,0
11008,2015,0,2,1,0
11008,2016,1,2,1,0
11008,2017,1,2,1,0
11008,2018,1,2,1,0
11008,2019,1,3,1,0
11008,2020,1,3,1,0
11008,2021,1,3,1,0
11021,2000,0,0,0,0
11021,2001,0,0,0,0
11021,2002,0,0,0,0
11021,2003,0,0,0,0
11021,2004,0,0,0,0
11021,2005,0,0,0,0
11021,2006,0,0,0,0
11021,2007,0,0,0,0
11021,2008,0,2,1,0
11021,2009,0,2,1,0
11021,2010,0,2,2,1
11021,2011,0,2,2,1
11021,2012,0,2,3,1
11021,2013,0,2,3,1
11021,2014,0,2,2,1
11021,2015,1,1,1,0
11021,2016,1,0,0,0
11021,2017,1,0,0,0
11021,2018,1,0,0,0
11021,2019,1,3,2,1
11021,2020,1,3,3,1
11021,2021,1,3,3,1
11022,2000,0,0,0,0
11022,2001,0,0,0,0
11022,2002,0,0,0,0
11022,2003,0,0,0,0
11022,2004,0,0,0,0
11022,2005,0,0,0,0
11022,2006,0,0,0,0
11022,2007,0,0,0,0
11022,2008,0,0,0,0
11022,2009,0,0,0,0
11022,2010,0,0,0,0
11022,2011,0,0,0,0
11022,2012,0,0,0,0
11022,2013,0,0,0,0
11022,2014,0,0,0,0
11022,2015,0,0,0,0
11022,2016,0,0,0,0
11022,2017,0,0,0,0
11022,2018,0,0,0,0
11022,2019,0,2,1,0
11022,2020,0,2,1,0
11022,2021,0,2,1,0
11023,2000,0,0,0,0
11023,2001,0,0,0,0
11023,2002,0,0,0,0
11023,2003,0,0,0,0
11023,2004,0,0,0,0
11023,2005,0,0,0,0
11023,2006,0,0,0,0
11023,2007,0,0,0,0
11023,2008,0,2,1,0
11023,2009,0,2,2,1
11023,2010,0,2,2,1
11023,2011,0,2,3,1
11023,2012,0,2,4,1
11023,2013,0,2,4,1
11023,2014,0,3,4,1
11023,2015,0,3,3,1
11023,2016,1,3,3,1
11023,2017,1,3,2,1
11023,2018,1,3,2,1
11023,2019,1,3,3,1
11023,2020,1,3,3,1
11023,2021,1,3,3,1
11024,2000,0,0,0,0
11024,2001,0,0,0,0
11024,2002,0,0,0,0
11024,2003,0,0,0,0
11024,2004,0,0,0,0
11024,2005,0,0,0,0
11024,2006,0,0,0,0
11024,2007,0,0,0,0
11024,2008,0,0,0,0
11024,2009,0,0,0,0
11024,2010,0,0,0,0
11024,2011,0,0,0,0
11024,2012,0,0,0,0
11024,2013,0,0,0,0
11024,2014,0,0,0,0
11024,2015,0,0,0,0
11024,2016,0,0,0,0
11024,2017,0,0,0,0
11024,2018,0,2,1,0
11024,2019,0,2,2,1
11024,2020,0,2,2,1
11024,2021,0,3,2,1
11025,2000,0,0,0,0
11025,2001,0,0,0,0
11025,2002,0,0,0,0
11025,2003,0,0,0,0
11025,2004,0,0,0,0
11025,2005,0,0,0,0
11025,2006,0,0,0,0
11025,2007,0,0,0,0
11025,2008,0,0,0,0
11025,2009,0,0,0,0
11025,2010,0,2,1,0
11025,2011,0,0,0,0
11025,2012,0,2,2,1
11025,2013,0,2,1,0
11025,2014,0,3,1,0
11025,2015,0,3,1,0
11025,2016,0,3,1,0
11025,2017,0,3,1,0
11025,2018,0,3,1,0
11025,2019,0,3,1,0
11025,2020,0,3,1,0
11025,2021,0,3,1,0
11026,2000,0,0,0,0
11026,2001,0,0,0,0
11026,2002,0,0,0,0
11026,2003,0,0,0,0
11026,2004,0,0,0,0
11026,2005,0,0,0,0
11026,2006,0,0,0,0
11026,2007,0,0,0,0
11026,2008,0,0,0,0
11026,2009,0,2,1,0
11026,2010,0,2,1,0
11026,2011,0,0,0,0
11026,2012,0,0,0,0
11026,2013,0,0,0,0
11026,2014,0,0,0,0
11026,2015,0,2,1,0
11026,2016,0,2,1,0
11026,2017,0,2,1,0
11026,2018,0,2,1,0
11026,2019,0,3,1,0
11026,2020,0,3,1,0
11026,2021,0,3,1,0
11028,2000,0,0,0,0
11028,2001,0,0,0,0
11028,2002,0,0,0,0
11028,2003,0,0,0,0
11028,2004,0,0,0,0
11028,2005,0,0,0,0
11028,2006,0,0,0,0
11028,2007,0,0,0,0
11028,2008,0,2,1,0
11028,2009,0,2,2,1
11028,2010,0,2,2,1
11028,2011,0,2,2,1
11028,2012,0,2,3,1
11028,2013,0,2,3,1
11028,2014,0,2,2,1
11028,2015,0,2,3,1
11028,2016,0,2,2,1
11028,2017,0,3,3,1
11028,2018,0,3,3,1
