outcome,T/N,N,T,S,event time,att estimate,confidence interval_l,confidence interval_u
hom_all_rate,5.27272727272727,33,174,78,56,-0.81389570390934,-1.72218946811989,-0.0673326318934433
hom_all_rate,5.27272727272727,33,174,78,57,-1.66103053202071,-2.56932429623127,-0.914467460004818
hom_all_rate,5.27272727272727,33,174,78,58,-2.10997110123447,-3.01826486544502,-1.37078923836665
hom_all_rate,5.27272727272727,33,174,78,59,-0.674343127394701,-1.71232497805894,0.234862036075792
hom_all_rate,5.27272727272727,33,174,78,60,-1.44039136251026,-2.60800630797028,-0.698447432828964
hom_all_rate,5.27272727272727,33,174,78,61,-3.16825769880859,-4.33587264426861,-2.42631376912729
hom_all_rate,5.27272727272727,33,174,78,62,-1.1137451493419,-2.28136009480192,-0.371801219660604
hom_all_rate,5.27272727272727,33,174,78,63,1.21727226096042,0.0496573155004068,1.95921619064172
hom_all_rate,5.27272727272727,33,174,78,64,-1.0562068981986,-2.93296124182228,-0.0936932681740759
hom_all_rate,5.27272727272727,33,174,78,65,0.0122329353152577,-1.86452140830842,0.974746565339781
hom_all_rate,5.27272727272727,33,174,78,66,2.00515764983626,0.128403306212582,3.00367367525604
hom_all_rate,5.27272727272727,33,174,78,67,0.230787009526831,-1.64596733409685,1.22930303494661
hom_all_rate,5.27272727272727,33,174,78,68,-2.15965376200463,-4.03640810562831,-1.16113773658485
hom_all_rate,5.27272727272727,33,174,78,69,-2.02932068149154,-3.90607502511522,-0.966812912684821
hom_all_rate,5.27272727272727,33,174,78,70,-0.270170621014345,-2.14692496463803,0.792337147792375
hom_all_rate,5.27272727272727,33,174,78,71,1.9756311074868,0.0988767638631165,3.03813887629352
hom_all_rate,5.27272727272727,33,174,78,72,3.007985682389,1.13123133876531,4.07049345119571
hom_all_rate,5.27272727272727,33,174,78,73,1.43029635545026,-0.446457988173426,2.49280412425697
hom_all_rate,5.27272727272727,33,174,78,74,-0.0470143362260989,-1.92376867984978,1.01549343258062
hom_all_rate,5.27272727272727,33,174,78,75,1.59354524586616,-0.283209097757523,2.65605301467288
hom_all_rate,5.27272727272727,33,174,78,76,-0.442971114460892,-2.31972545808457,0.630067815875023
hom_all_rate,5.27272727272727,33,174,78,77,9.18556963268711,7.30881528906342,10.258608563023
hom_all_rate,5.27272727272727,33,174,78,78,6.20488487517844,4.19674501571662,7.54607443198008
hom_ym_rate,5.27272727272727,33,174,78,1,0.160154304316564,-0.380155617562487,0.488131111522146
hom_ym_rate,5.27272727272727,33,174,78,2,1.00430453037871,0.467461747780517,1.33384507670216
hom_ym_rate,5.27272727272727,33,174,78,3,0.700953111546138,0.164110328947941,1.03049365786959
hom_ym_rate,5.27272727272727,33,174,78,4,-0.23877660200875,-0.775619384606947,0.0907639443146978
hom_ym_rate,5.27272727272727,33,174,78,5,0.426454710052061,-0.109271119827785,0.793739828016381
hom_ym_rate,5.27272727272727,33,174,78,6,-0.172992157361022,-0.699454488856512,0.123310478563725
hom_ym_rate,5.27272727272727,33,174,78,7,-0.356011418571738,-0.882473750067228,-0.0597087826469909
hom_ym_rate,5.27272727272727,33,174,78,8,-0.437475911690603,-0.963938243186093,-0.141173275765856
hom_ym_rate,5.27272727272727,33,174,78,9,1.29085760102769,0.764395269532199,1.58716023695244
hom_ym_rate,5.27272727272727,33,174,78,10,1.63275945598767,1.10629712449218,1.92906209191242
hom_ym_rate,5.27272727272727,33,174,78,11,0.781838327551738,0.255375996056248,1.07814096347649
hom_ym_rate,5.27272727272727,33,174,78,12,0.431597383679895,-0.0948649478155957,0.727900019604642
hom_ym_rate,5.27272727272727,33,174,78,13,0.236804662622388,-0.289657668873102,0.533107298547135
hom_ym_rate,5.27272727272727,33,174,78,14,-0.179851864774399,-0.70631419626989,0.116450771150348
hom_ym_rate,5.27272727272727,33,174,78,15,0.318450446912284,-0.208945595047522,0.615008054856283
hom_ym_rate,5.27272727272727,33,174,78,16,0.485082706968907,-0.0377012501412679,0.784136500402492
hom_ym_rate,5.27272727272727,33,174,78,17,-0.345759394093769,-0.868543351203944,-0.0467056006601848
hom_ym_rate,5.27272727272727,33,174,78,18,0.101128233073815,-0.42165572403636,0.400182026507399
hom_ym_rate,5.27272727272727,33,174,78,19,1.20905764860792,0.685414221515927,1.50863251309819
hom_ym_rate,5.27272727272727,33,174,78,20,0.138664126605658,-0.37459024733906,0.445043245316765
hom_ym_rate,5.27272727272727,33,174,78,21,1.96777103200179,1.46065390822265,2.27869580278308
hom_ym_rate,5.27272727272727,33,174,78,22,0.354840144979587,-0.291897150201027,0.665764915760872
hom_ym_rate,5.27272727272727,33,174,78,23,-0.322119340174147,-0.968856635354761,-0.0111945693928616
hom_ym_rate,5.27272727272727,33,174,78,24,0.893480372789281,0.246743077608667,1.20440514357057
hom_ym_rate,5.27272727272727,33,174,78,25,2.47835674724356,1.83161945206295,2.78928151802484
hom_ym_rate,5.27272727272727,33,174,78,26,-0.341370738769539,-0.988108033950153,-0.00852705316915042
hom_ym_rate,5.27272727272727,33,174,78,27,-1.11880307396527,-1.76554036914589,-0.785959388364886
hom_ym_rate,5.27272727272727,33,174,78,28,0.830117850479334,0.18338055529872,1.16296153607972
hom_ym_rate,5.27272727272727,33,174,78,29,-0.571001158979974,-1.21773845416059,-0.238157473379585
hom_ym_rate,5.27272727272727,33,174,78,30,1.94455190435954,1.29781460917893,2.27739558995993
hom_ym_rate,5.27272727272727,33,174,78,31,2.53532144796369,1.88858415278307,2.86816513356408
hom_ym_rate,5.27272727272727,33,174,78,32,1.21780121882895,0.57106392364834,1.55064490442934
hom_ym_rate,5.27272727272727,33,174,78,33,0.269494330547627,-0.377242964632987,0.602338016148016
hom_ym_rate,5.27272727272727,33,174,78,34,0.935684304909711,0.288947009729097,1.2685279905101
hom_ym_rate,5.27272727272727,33,174,78,35,1.29980553903126,0.653068243850643,1.63264922463165
hom_ym_rate,5.27272727272727,33,174,78,36,1.34987247693028,0.703135181749667,1.68271616253067
hom_ym_rate,5.27272727272727,33,174,78,37,1.5330437124144,0.886306417233789,1.86588739801479
hom_ym_rate,5.27272727272727,33,174,78,38,1.43854947281911,0.791812177638492,1.7713931584195
hom_ym_rate,5.27272727272727,33,174,78,39,0.113077359023823,-0.533659936156791,0.445921044624212
hom_ym_rate,5.27272727272727,33,174,78,40,1.80660235869911,1.1598650635185,2.1394460442995
hom_ym_rate,5.27272727272727,33,174,78,41,0.333163507260497,-0.313573787920117,0.666007192860886
hom_ym_rate,5.27272727272727,33,174,78,42,0.447543872468711,-0.199193422711903,0.7803875580691
hom_ym_rate,5.27272727272727,33,174,78,43,0.161470028451385,-0.485267266729229,0.494313714051773
hom_ym_rate,5.27272727272727,33,174,78,44,0.182022225726457,-0.464715069454157,0.514865911326846
hom_ym_rate,5.27272727272727,33,174,78,45,0.176377595382723,-0.470359699797891,0.509221280983112
hom_ym_rate,5.27272727272727,33,174,78,46,1.08293949651485,0.436202201334235,1.41578318211524
hom_ym_rate,5.27272727272727,33,174,78,47,-0.278659846879446,-1.02762993149647,0.054183838720943
hom_ym_rate,5.27272727272727,33,174,78,48,-1.32346706452564,-2.07243714914266,-0.99062337892525
hom_ym_rate,5.27272727272727,33,174,78,49,-0.0134678446362441,-0.762437929253265,0.319375840964145
hom_ym_rate,5.27272727272727,33,174,78,50,-0.925622702688472,-1.67459278730549,-0.592779017088084
hom_ym_rate,5.27272727272727,33,174,78,51,0.234656222494879,-0.514313862122143,0.572125830857753
hom_ym_rate,5.27272727272727,33,174,78,52,1.82376270070261,1.07479261608559,2.16123230906549
hom_ym_rate,5.27272727272727,33,174,78,53,0.427786266956972,-0.32118381766005,0.765255875319846
hom_ym_rate,5.27272727272727,33,174,78,54,0.0353971738202307,-0.713572910796791,0.410681484006216
hom_ym_rate,5.27272727272727,33,174,78,55,1.41761127368007,0.668641189063046,1.79289558386605
hom_ym_rate,5.27272727272727,33,174,78,56,-1.01288624423962,-1.76185632885664,-0.637601934053632
hom_ym_rate,5.27272727272727,33,174,78,57,-0.44336263469831,-1.19233271931533,-0.0680783245123241
hom_ym_rate,5.27272727272727,33,174,78,58,-0.190923407999043,-0.939893492616064,0.184360902186943
hom_ym_rate,5.27272727272727,33,174,78,59,0.626273092205925,0.0797770150854954,1.06710384390654
hom_ym_rate,5.27272727272727,33,174,78,60,-1.06652258968949,-1.69459250705769,-0.565562675829768
hom_ym_rate,5.27272727272727,33,174,78,61,-0.762244458806181,-1.39031437617438,-0.261284544946456
hom_ym_rate,5.27272727272727,33,174,78,62,0.829263939581927,0.201194022213725,1.33022385344165
hom_ym_rate,5.27272727272727,33,174,78,63,1.7713840866893,1.14331416932109,2.27234400054902
hom_ym_rate,5.27272727272727,33,174,78,64,0.392165218396093,-0.379874710156665,1.05533276579567
hom_ym_rate,5.27272727272727,33,174,78,65,-0.432898638701937,-1.20493856725469,0.230268908697642
hom_ym_rate,5.27272727272727,33,174,78,66,-0.292441588689004,-1.06448151724176,0.370725958710574
hom_ym_rate,5.27272727272727,33,174,78,67,0.46933218833742,-0.302707740215337,1.10832643354775
hom_ym_rate,5.27272727272727,33,174,78,68,0.0761021913754467,-0.695937737177311,0.694565421111583
