"dates" "sat" "sun" "hol" "excl.dates"
"296" "2018-06-23" 1 0 1 0
"297" "2018-06-24" 0 1 0 0
"298" "2018-06-25" 0 0 1 0
"299" "2018-06-26" 0 0 0 0
"300" "2018-06-27" 0 0 0 0
"301" "2018-06-28" 0 0 0 0
"302" "2018-06-29" 0 0 0 0
"303" "2018-06-30" 1 0 0 0
"304" "2018-07-01" 0 1 0 0
"305" "2018-07-02" 0 0 0 0
"306" "2018-07-03" 0 0 0 0
"307" "2018-07-04" 0 0 0 0
"308" "2018-07-05" 0 0 0 0
"309" "2018-07-06" 0 0 0 0
"310" "2018-07-07" 1 0 0 0
"311" "2018-07-08" 0 1 0 0
"312" "2018-07-09" 0 0 0 0
"313" "2018-07-10" 0 0 0 0
"314" "2018-07-11" 0 0 0 0
"315" "2018-07-12" 0 0 0 0
"316" "2018-07-13" 0 0 0 0
"317" "2018-07-14" 1 0 0 0
"318" "2018-07-15" 0 1 0 0
"319" "2018-07-16" 0 0 0 0
"320" "2018-07-17" 0 0 0 0
"321" "2018-07-18" 0 0 0 0
"322" "2018-07-19" 0 0 0 0
"323" "2018-07-20" 0 0 0 0
"324" "2018-07-21" 1 0 0 0
"325" "2018-07-22" 0 1 0 0
"326" "2018-07-23" 0 0 0 0
"327" "2018-07-24" 0 0 0 0
"328" "2018-07-25" 0 0 0 0
"329" "2018-07-26" 0 0 0 0
"330" "2018-07-27" 0 0 0 0
"331" "2018-07-28" 1 0 0 0
"332" "2018-07-29" 0 1 0 0
"333" "2018-07-30" 0 0 0 0
"334" "2018-07-31" 0 0 0 0
"335" "2018-08-01" 0 0 0 0
"336" "2018-08-02" 0 0 0 0
"337" "2018-08-03" 0 0 0 0
"338" "2018-08-04" 1 0 0 0
"339" "2018-08-05" 0 1 0 0
"340" "2018-08-06" 0 0 0 0
"341" "2018-08-07" 0 0 0 0
"342" "2018-08-08" 0 0 0 0
"343" "2018-08-09" 0 0 0 0
"344" "2018-08-10" 0 0 0 0
"345" "2018-08-11" 1 0 0 0
"346" "2018-08-12" 0 1 0 0
"347" "2018-08-13" 0 0 0 0
"348" "2018-08-14" 0 0 1 0
"349" "2018-08-15" 0 0 0 0
"350" "2018-08-16" 0 0 1 0
"351" "2018-08-17" 0 0 0 0
"352" "2018-08-18" 1 0 0 0
"353" "2018-08-19" 0 1 0 0
"354" "2018-08-20" 0 0 0 0
"355" "2018-08-21" 0 0 0 0
"356" "2018-08-22" 0 0 0 0
"357" "2018-08-23" 0 0 0 0
"358" "2018-08-24" 0 0 0 0
"359" "2018-08-25" 1 0 0 0
"360" "2018-08-26" 0 1 0 0
"361" "2018-08-27" 0 0 0 0
"362" "2018-08-28" 0 0 0 0
"363" "2018-08-29" 0 0 0 0
"364" "2018-08-30" 0 0 0 0
"365" "2018-08-31" 0 0 0 0
"366" "2018-09-01" 1 0 0 0
"367" "2018-09-02" 0 1 0 0
"368" "2018-09-03" 0 0 0 0
"369" "2018-09-04" 0 0 0 0
"370" "2018-09-05" 0 0 0 0
"371" "2018-09-06" 0 0 0 0
"372" "2018-09-07" 0 0 0 0
"373" "2018-09-08" 1 0 0 0
"374" "2018-09-09" 0 1 0 0
"375" "2018-09-10" 0 0 0 0
"376" "2018-09-11" 0 0 0 0
"377" "2018-09-12" 0 0 0 0
"378" "2018-09-13" 0 0 0 0
"379" "2018-09-14" 0 0 0 0
"380" "2018-09-15" 1 0 0 0
"381" "2018-09-16" 0 1 0 0
"382" "2018-09-17" 0 0 0 0
"383" "2018-09-18" 0 0 0 0
"384" "2018-09-19" 0 0 0 0
"385" "2018-09-20" 0 0 0 0
"386" "2018-09-21" 0 0 0 0
"387" "2018-09-22" 1 0 0 0
"388" "2018-09-23" 0 1 0 0
"389" "2018-09-24" 0 0 0 0
"390" "2018-09-25" 0 0 0 0
"391" "2018-09-26" 0 0 0 0
"392" "2018-09-27" 0 0 0 0
"393" "2018-09-28" 0 0 0 0
"394" "2018-09-29" 1 0 0 0
"395" "2018-09-30" 0 1 0 0
"396" "2018-10-01" 0 0 0 0
"397" "2018-10-02" 0 0 0 0
"398" "2018-10-03" 0 0 0 0
"399" "2018-10-04" 0 0 0 0
"400" "2018-10-05" 0 0 0 0
"401" "2018-10-06" 1 0 0 0
"402" "2018-10-07" 0 1 0 0
"403" "2018-10-08" 0 0 0 0
"404" "2018-10-09" 0 0 0 0
"405" "2018-10-10" 0 0 0 0
"406" "2018-10-11" 0 0 0 0
"407" "2018-10-12" 0 0 0 0
"408" "2018-10-13" 1 0 0 0
"409" "2018-10-14" 0 1 0 0
"410" "2018-10-15" 0 0 0 0
"411" "2018-10-16" 0 0 0 0
"412" "2018-10-17" 0 0 0 0
"413" "2018-10-18" 0 0 0 0
"414" "2018-10-19" 0 0 0 0
"415" "2018-10-20" 1 0 0 0
"416" "2018-10-21" 0 1 0 0
"417" "2018-10-22" 0 0 0 0
"418" "2018-10-23" 0 0 0 0
"419" "2018-10-24" 0 0 0 0
"420" "2018-10-25" 0 0 0 0
"421" "2018-10-26" 0 0 0 0
"422" "2018-10-27" 1 0 0 0
"423" "2018-10-28" 0 1 0 0
"424" "2018-10-29" 0 0 0 0
"425" "2018-10-30" 0 0 0 0
"426" "2018-10-31" 0 0 1 0
"427" "2018-11-01" 0 0 0 1
"428" "2018-11-02" 0 0 1 0
"429" "2018-11-03" 1 0 0 0
"430" "2018-11-04" 0 1 0 0
"431" "2018-11-05" 0 0 0 0
"432" "2018-11-06" 0 0 0 0
"433" "2018-11-07" 0 0 0 0
"434" "2018-11-08" 0 0 0 0
"435" "2018-11-09" 0 0 0 0
"436" "2018-11-10" 1 0 0 0
"437" "2018-11-11" 0 1 0 0
"438" "2018-11-12" 0 0 0 0
"439" "2018-11-13" 0 0 0 0
"440" "2018-11-14" 0 0 0 0
"441" "2018-11-15" 0 0 0 0
"442" "2018-11-16" 0 0 0 0
"443" "2018-11-17" 1 0 0 0
"444" "2018-11-18" 0 1 0 0
"445" "2018-11-19" 0 0 0 0
"446" "2018-11-20" 0 0 0 0
"447" "2018-11-21" 0 0 0 0
"448" "2018-11-22" 0 0 0 0
"449" "2018-11-23" 0 0 0 0
"450" "2018-11-24" 1 0 0 0
"451" "2018-11-25" 0 1 0 0
"452" "2018-11-26" 0 0 0 0
"453" "2018-11-27" 0 0 0 0
"454" "2018-11-28" 0 0 0 0
"455" "2018-11-29" 0 0 0 0
"456" "2018-11-30" 0 0 0 0
"457" "2018-12-01" 1 0 0 0
"458" "2018-12-02" 0 1 0 0
"459" "2018-12-03" 0 0 0 0
"460" "2018-12-04" 0 0 0 0
"461" "2018-12-05" 0 0 0 0
"462" "2018-12-06" 0 0 0 0
"463" "2018-12-07" 0 0 1 0
"464" "2018-12-08" 1 0 0 1
"465" "2018-12-09" 0 1 1 0
"466" "2018-12-10" 0 0 0 0
"467" "2018-12-11" 0 0 0 0
"468" "2018-12-12" 0 0 0 0
"469" "2018-12-13" 0 0 0 0
"470" "2018-12-14" 0 0 0 0
"471" "2018-12-15" 1 0 0 0
"472" "2018-12-16" 0 1 0 0
"473" "2018-12-17" 0 0 0 0
"474" "2018-12-18" 0 0 0 0
"475" "2018-12-19" 0 0 0 0
"476" "2018-12-20" 0 0 0 0
"477" "2018-12-21" 0 0 0 0
"478" "2018-12-22" 1 0 0 0
"479" "2018-12-23" 0 1 0 0
"480" "2018-12-24" 0 0 1 0
"481" "2018-12-25" 0 0 0 1
"482" "2018-12-26" 0 0 0 1
"483" "2018-12-27" 0 0 1 0
"484" "2018-12-28" 0 0 0 0
"485" "2018-12-29" 1 0 0 0
"486" "2018-12-30" 0 1 0 0
"487" "2018-12-31" 0 0 1 0
"488" "2019-01-01" 0 0 0 1
"489" "2019-01-02" 0 0 1 0
"490" "2019-01-03" 0 0 0 0
"491" "2019-01-04" 0 0 0 0
"492" "2019-01-05" 1 0 1 0
"493" "2019-01-06" 0 1 0 1
"494" "2019-01-07" 0 0 1 0
"495" "2019-01-08" 0 0 0 0
"496" "2019-01-09" 0 0 0 0
"497" "2019-01-10" 0 0 0 0
"498" "2019-01-11" 0 0 0 0
"499" "2019-01-12" 1 0 0 0
"500" "2019-01-13" 0 1 0 0
"501" "2019-01-14" 0 0 0 0
"502" "2019-01-15" 0 0 0 0
"503" "2019-01-16" 0 0 0 0
